id,input,output
10,Eupatilin can inhibit arachidonic acid (AA)-induced platelet aggregation and thromboxane A2 (TXA2) generation.,"[{'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'platelet aggregation'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'thromboxane A2 generation'}]"
11,Eupatilin can exert anti-inflammatory and anti-coagulation effects in LPS-induced RAW264.7 macrophages and CLP mouse model by suppressing the JAK2/STAT3 signaling pathway.,"[{'entity1': 'Eupatilin', 'relationship': 'exert', 'entity2': 'anti-inflammatory effects'}, {'entity1': 'Eupatilin', 'relationship': 'exert', 'entity2': 'anti-coagulation effects'}, {'entity1': 'Eupatilin', 'relationship': 'suppressing', 'entity2': 'JAK2/STAT3 signaling pathway'}]"
12,"Eupatilin (10 μM) was applied to RAW264.7 cells for 2 hours, followed by a 6-hour stimulation with LPS (1 μg/mL).","[{'entity1': 'Eupatilin', 'relationship': 'applied to', 'entity2': 'RAW264.7 cells'}, {'entity1': 'RAW264.7 cells', 'relationship': 'stimulation with', 'entity2': 'LPS'}]"
13,"RAW264.7 macrophages were purchased from ATCC (Manassas, VA, USA) and cultivated in DMEM with 10% FBS.","[{'entity1': 'RAW264.7 macrophages', 'relationship': 'purchased from', 'entity2': 'ATCC'}, {'entity1': 'RAW264.7 macrophages', 'relationship': 'cultivated in', 'entity2': 'DMEM'}]"
14,The LPS group was stimulated with 1 μg/mL LPS for 6 hours.,"[{'entity1': 'LPS group', 'relationship': 'stimulated with', 'entity2': 'LPS'}]"
15,"The Eup group was treated only with 10 μM Eupatilin, which was added the same time as LPS+ Eup group.","[{'entity1': 'Eup group', 'relationship': 'treated with', 'entity2': 'Eupatilin'}, {'entity1': 'Eup group', 'relationship': 'added with', 'entity2': 'LPS+ Eup group'}]"
16,The effects of Eupatilin on the proliferation of RAW264.7 macrophages were assessed using the CCK-8 assay.,"[{'entity1': 'Eupatilin', 'relationship': 'affects', 'entity2': 'proliferation'}, {'entity1': 'RAW264.7 macrophages', 'relationship': 'assessed by', 'entity2': 'CCK-8 assay'}]"
17,"The day before stimulation, RAW264.7 cells were seeded in a 96-well plate at a density of 1.0×104 cells/well.","[{'entity1': 'RAW264.7 cells', 'relationship': 'seeded in', 'entity2': '96-well plate'}, {'entity1': 'RAW264.7 cells', 'relationship': 'density', 'entity2': '1.0×104 cells/well'}]"
18,"The RT-qPCR was performed using SYBR Green on a PCR detection system (7500fast, USA).","[{'entity1': 'RT-qPCR', 'relationship': 'performed using', 'entity2': 'SYBR Green'}, {'entity1': 'PCR detection system', 'relationship': 'used for', 'entity2': 'RT-qPCR'}]"
19,We obtained male C57BL/6 mice at the age of 6–8 weeks and the weight of 18–25 g from Shanghai SLAC Laboratory.,"[{'entity1': 'Male C57BL/6 mice', 'relationship': 'obtained from', 'entity2': 'Shanghai SLAC Laboratory'}, {'entity1': 'Male C57BL/6 mice', 'relationship': 'age', 'entity2': '6–8 weeks'}, {'entity1': 'Male C57BL/6 mice', 'relationship': 'weight', 'entity2': '18–25 g'}]"
20,"The mice were randomly assigned into three groups according to the random number table method: sham operation (SHAM) group, CLP group, CLP + Eup group. After the processing time, each group contained more than six samples. The mice were anesthetized by 1% sodium pentobarbital (Solarbio, China) according to their weight (100 μL/10 g) before operation.","[{'entity1': 'mice', 'relationship': 'assigned', 'entity2': 'groups'}, {'entity1': 'groups', 'relationship': 'contained', 'entity2': 'samples'}, {'entity1': 'mice', 'relationship': 'anesthetized', 'entity2': 'sodium pentobarbital'}, {'entity1': 'sodium pentobarbital', 'relationship': 'administered', 'entity2': 'mice'}]"
21,"After the mice were anesthetized, we opened the abdominal cavity and carefully exposed the cecum, which was then ligated at 1 cm from the end and punched through by a needle (21-gauge). Subsequently, the feces were squeezed out into the abdomen and the cecum was placed back. Finally, the abdominal cavity was closed.","[{'entity1': 'mice', 'relationship': 'exposed', 'entity2': 'cecum'}, {'entity1': 'cecum', 'relationship': 'ligated', 'entity2': 'end'}, {'entity1': 'cecum', 'relationship': 'punched through', 'entity2': 'needle'}, {'entity1': 'feces', 'relationship': 'squeezed out', 'entity2': 'abdomen'}, {'entity1': 'abdominal cavity', 'relationship': 'closed', 'entity2': 'cecum'}]"
22,"Similar procedures without ligation and puncture were used in the SHAM group. For the CLP+Eup group, the mice were administered Eupatilin (10mg/kg) by gavage 2 hours before operation. After surgery, each mouse was immediately resuscitated by subcutaneous injection of 1 mL warm saline.","[{'entity1': 'procedures', 'relationship': 'used', 'entity2': 'SHAM group'}, {'entity1': 'mice', 'relationship': 'administered', 'entity2': 'Eupatilin'}, {'entity1': 'mouse', 'relationship': 'resuscitated', 'entity2': 'saline'}]"
23,"The experimental samples were collected 24 hours after surgery. Besides, survival analysis was performed and lasted for 72 hours, with 10 mice per group, during which the mice were monitored every 6 hours and euthanized at the point of moribundity.","[{'entity1': 'samples', 'relationship': 'collected', 'entity2': 'surgery'}, {'entity1': 'survival analysis', 'relationship': 'performed', 'entity2': '72 hours'}, {'entity1': 'mice', 'relationship': 'monitored', 'entity2': 'hours'}, {'entity1': 'mice', 'relationship': 'euthanized', 'entity2': 'moribundity'}]"
24,"The lung tissue from three groups of mice were collected, fixed in 4% paraformaldehyde, dehydrated, embedded, and sliced into 4-μm-thick sections. Following the manufacturer’s instructions, the slices were stained by H&E staining kit.","[{'entity1': 'lung tissue', 'relationship': 'collected', 'entity2': 'groups'}, {'entity1': 'tissue', 'relationship': 'fixed in', 'entity2': 'paraformaldehyde'}, {'entity1': 'slices', 'relationship': 'stained by', 'entity2': 'H&E staining kit'}]"
25,"The severity of lung injury was evaluated based on inflammatory cell infiltration, edema and congestion. The pulmonary injury was scored as follows: 0 point for no injury, 1 point for <25% of the field injured, 2 points for 25% to 50% of the field injured, 3 points for 50% to 75% of the field injured, and 4 points for >75% of the field injured.","[{'entity1': 'severity', 'relationship': 'evaluated based on', 'entity2': 'inflammatory cell infiltration'}, {'entity1': 'pulmonary injury', 'relationship': 'scored as', 'entity2': 'points'}]"
26,"Immunohistochemical Assay The lung slices were dewaxed and rehydrated. Then, the antigen in slices was retrieved in citrate buffer (0.01 M, pH 6.0) for 10 minutes using a microwave oven, followed by quenching of endogenous peroxidase for 15 minutes.","[{'entity1': 'lung slices', 'relationship': 'retrieved in', 'entity2': 'citrate buffer'}, {'entity1': 'slices', 'relationship': 'quenched', 'entity2': 'peroxidase'}]"
27,The slices were blocked with 5% BSA for an hour. The slices were then incubated with rabbit anti-fibrinogen antibody overnight at 4°C. The slices were stained using a DAB kit and observed under a microscope.,"[{'entity1': 'slices', 'relationship': 'blocked', 'entity2': 'BSA'}, {'entity1': 'slices', 'relationship': 'incubated with', 'entity2': 'rabbit anti-fibrinogen antibody'}, {'entity1': 'slices', 'relationship': 'stained using', 'entity2': 'DAB kit'}]"
28,"The experiment was performed according to the manufacturer’s instructions. The catalog numbers for the reagent kits were as follows: IL-1β (Catalog No:70-EK201B), IL-6 (Catalog No:70-EK206) and TNF-α (Catalog No:70-EK282) from MultiScience, China.","[{'entity1': 'experiment', 'relationship': 'performed according to', 'entity2': 'manufacturer’s instructions'}, {'entity1': 'reagent kits', 'relationship': 'included', 'entity2': 'IL-1β'}, {'entity1': 'reagent kits', 'relationship': 'included', 'entity2': 'IL-6'}, {'entity1': 'reagent kits', 'relationship': 'included', 'entity2': 'TNF-α'}, {'entity1': 'reagent kits', 'relationship': 'from', 'entity2': 'MultiScience, China'}]"
29,"After measuring the protein concentrations using the BCA kit, lysates containing 20 µg protein samples were separated on 10% or 12.5% SDS-PAGE gels. The proteins were electrotransferred onto PVDF membranes in a cold condition.","[{'entity1': 'protein concentrations', 'relationship': 'measured using', 'entity2': 'BCA kit'}, {'entity1': 'lysates', 'relationship': 'separated on', 'entity2': 'SDS-PAGE gels'}, {'entity1': 'proteins', 'relationship': 'electrotransferred onto', 'entity2': 'PVDF membranes'}]"
30,"Plasminogen-activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive protein (CRP), also play a role.","[{'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Inflammation'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Inflammation'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Inflammation'}]"
31,"Among proinflammatory cytokines contributing to IR development, the role of interleukin (IL)-6, which has autocrine and paracrine properties and is involved in insulin reception and free fatty acid (FFA) metabolism regulation, has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'Dyslipidemia'}]"
32,"For cell immunofluorescence, macrophages were fixed with 4% paraformaldehyde for 10 min, permeabilized in 0.2% Triton X-100 for 15 minutes, and blocked in 5% BSA for 30 minutes.","[{'entity1': 'Macrophages', 'relationship': 'treatment', 'entity2': 'Paraformaldehyde'}, {'entity1': 'Macrophages', 'relationship': 'treatment', 'entity2': 'Triton X-100'}, {'entity1': 'Macrophages', 'relationship': 'treatment', 'entity2': 'BSA'}]"
33,"For tissue immunofluorescence staining, lung sections were treated the same way as for immunohistochemistry, then incubated with the F4/80 and TF primary antibodies overnight at 4°C.","[{'entity1': 'Lung sections', 'relationship': 'treatment', 'entity2': 'Immunohistochemistry'}, {'entity1': 'Lung sections', 'relationship': 'incubated with', 'entity2': 'F4/80'}, {'entity1': 'Lung sections', 'relationship': 'incubated with', 'entity2': 'TF'}]"
34,"Eupatilin Decreased the Expression of Inflammatory Cytokines and TF in LPS-Induced RAW264.7 Cells To explore the effect of Eupatilin, we measured inflammatory cytokines and TF levels in RAW264.7 cells six hours after LPS stimulation.","[{'entity1': 'Eupatilin', 'relationship': 'Decreased', 'entity2': 'Expression of Inflammatory Cytokines'}, {'entity1': 'Eupatilin', 'relationship': 'Decreased', 'entity2': 'TF'}, {'entity1': 'Eupatilin', 'relationship': 'Effect on', 'entity2': 'RAW264.7 Cells'}, {'entity1': 'Inflammatory Cytokines', 'relationship': 'Measured in', 'entity2': 'RAW264.7 cells'}, {'entity1': 'TF', 'relationship': 'Measured in', 'entity2': 'RAW264.7 cells'}, {'entity1': 'LPS', 'relationship': 'Induced', 'entity2': 'RAW264.7 Cells'}]"
35,"Eupatilin Regulated LPS-Induced Inflammation and Coagulation by Suppressing JAK2/ STAT3 Signaling Pathway in RAW264.7 Cells To observe whether Eupatilin-mediated effects on inflammation and coagulation were linked to the JAK2/STAT3 signaling pathway, we performed Western blot in RAW264.7 cells to detect the phosphorylation of target proteins.","[{'entity1': 'Eupatilin', 'relationship': 'Regulated', 'entity2': 'Inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'Regulated', 'entity2': 'Coagulation'}, {'entity1': 'Eupatilin', 'relationship': 'Linked to', 'entity2': 'JAK2/STAT3 signaling pathway'}, {'entity1': 'Eupatilin', 'relationship': 'Effects on', 'entity2': 'RAW264.7 Cells'}, {'entity1': 'Inflammation', 'relationship': 'Regulated by', 'entity2': 'Eupatilin'}, {'entity1': 'Coagulation', 'relationship': 'Regulated by', 'entity2': 'Eupatilin'}, {'entity1': 'JAK2/STAT3 signaling pathway', 'relationship': 'Linked to', 'entity2': 'Eupatilin'}, {'entity1': 'JAK2/STAT3 signaling pathway', 'relationship': 'Linked to', 'entity2': 'Inflammation'}, {'entity1': 'JAK2/STAT3 signaling pathway', 'relationship': 'Linked to', 'entity2': 'Coagulation'}, {'entity1': 'Inflammation', 'relationship': 'Linked to', 'entity2': 'JAK2/STAT3 signaling pathway'}, {'entity1': 'Coagulation', 'relationship': 'Linked to', 'entity2': 'JAK2/STAT3 signaling pathway'}]"
36,"Compared with the CON group, the LPS group had significantly higher expression levels of both p-JAK2 and p-STAT3. However, after pretreatment with Eupatilin, the expression levels of both p-JAK2 and p-STAT3 were diminished.","[{'entity1': 'CON group', 'relationship': 'comparison', 'entity2': 'LPS group'}, {'entity1': 'LPS group', 'relationship': 'higher expression levels', 'entity2': 'p-JAK2'}, {'entity1': 'LPS group', 'relationship': 'higher expression levels', 'entity2': 'p-STAT3'}, {'entity1': 'Eupatilin', 'relationship': 'pretreatment', 'entity2': 'p-JAK2'}, {'entity1': 'Eupatilin', 'relationship': 'pretreatment', 'entity2': 'p-STAT3'}]"
37,"AG490 is an inhibitor of JAK2, which reduced the phosphorylation of JAK2 and STAT3. Western blot analysis revealed that AG490 inhibited the phosphorylation of both STAT3 and JAK2, while Eupatilin pretreatment strengthened this inhibition.","[{'entity1': 'AG490', 'relationship': 'inhibitor', 'entity2': 'JAK2'}, {'entity1': 'AG490', 'relationship': 'inhibitor', 'entity2': 'STAT3'}, {'entity1': 'Eupatilin', 'relationship': 'strengthened inhibition', 'entity2': 'AG490'}, {'entity1': 'Eupatilin', 'relationship': 'strengthened inhibition', 'entity2': 'STAT3'}, {'entity1': 'Eupatilin', 'relationship': 'strengthened inhibition', 'entity2': 'JAK2'}]"
38,"To verify whether Eupatilin pretreatment can reduce p-STAT3 nuclear translocation in LPS-stimulated RAW264.7 cells, both Western blot and immunofluorescence were performed. Western blot analysis showed that the pretreatment with Eupatilin attenuated the expression of p-STAT3 in nucleus.","[{'entity1': 'Eupatilin', 'relationship': 'pretreatment effect', 'entity2': 'p-STAT3'}, {'entity1': 'Eupatilin', 'relationship': 'attenuated', 'entity2': 'p-STAT3'}, {'entity1': 'Eupatilin', 'relationship': 'nuclear translocation reduction', 'entity2': 'p-STAT3'}, {'entity1': 'Eupatilin', 'relationship': 'nuclear translocation reduction', 'entity2': 'RAW264.7 cells'}]"
39,"Eupatilin Increased Survival Rate and Improved Inflammation and Coagulation in Septic Mice To investigate the effect of Eupatilin on the survival rate of septic mice, we established a model using CLP with C57BL/6 mice and calculated the 72-hour survival rate. The results showed that compared with SHAM group, the survival rate in CLP group dropped sharply. Moreover, compared to mice in CLP group, the survival rate in CLP+Eup group increased.","[{'entity1': 'Eupatilin', 'relationship': 'Increased', 'entity2': 'Survival Rate'}, {'entity1': 'Eupatilin', 'relationship': 'Improved', 'entity2': 'Inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'Improved', 'entity2': 'Coagulation'}, {'entity1': 'CLP group', 'relationship': 'dropped', 'entity2': 'Survival Rate'}, {'entity1': 'CLP+Eup group', 'relationship': 'increased', 'entity2': 'Survival Rate'}]"
40,"To explore whether Eupatilin improves inflammation and coagulation in mouse model, ELISA was performed. As anticipated, the level of inflammatory cytokines, such as TNF-α, IL-1β and IL-6, as well as coagulation factors, such as TF, TAT, PAI-1 and D-dimer, were lower in the plasma for mice in CLP+Eup group than those in the CLP group.","[{'entity1': 'Eupatilin', 'relationship': 'improves', 'entity2': 'Inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'improves', 'entity2': 'Coagulation'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'lower', 'entity2': 'Plasma'}, {'entity1': 'Coagulation factors', 'relationship': 'lower', 'entity2': 'Plasma'}]"
41,"Plasma was decreased in the CLP group, while the pretreatment with Eupatilin reversed this trend.","[{'entity1': 'Plasma', 'relationship': 'decreased', 'entity2': 'CLP group'}, {'entity1': 'Eupatilin', 'relationship': 'reversed', 'entity2': 'trend'}]"
42,"Eupatilin Alleviated Pulmonary Inflammation and Lung Injury in Septic Mice. H&E staining revealed that in the CLP models, the alveolar wall was thickened, hyaline membranes were formed, and neutrophils had accumulated in the interstitial space.","[{'entity1': 'Eupatilin', 'relationship': 'Alleviated', 'entity2': 'Pulmonary Inflammation'}, {'entity1': 'Hyaline membranes', 'relationship': 'formed', 'entity2': 'CLP models'}, {'entity1': 'Neutrophils', 'relationship': 'accumulated', 'entity2': 'interstitial space'}]"
43,Eupatilin Reduced Coagulation and Fibrin Deposition in the Lung Tissue of Septic Mice. The exposure of TF is the way to promote coagulation.,"[{'entity1': 'Eupatilin', 'relationship': 'Reduced', 'entity2': 'Coagulation'}, {'entity1': 'TF', 'relationship': 'exposure', 'entity2': 'promote coagulation'}]"
44,Eupatilin Suppressed the Activation of JAK2/STAT3 Signaling Pathway in the Lung Tissue of Septic Mice. The Western blot analysis revealed that the expression of p-JAK2 and p-STAT3 was considerably higher in the CLP.,"[{'entity1': 'Eupatilin', 'relationship': 'Suppressed', 'entity2': 'Activation of JAK2/STAT3 Signaling Pathway'}, {'entity1': 'p-JAK2', 'relationship': 'higher', 'entity2': 'CLP'}]"
45,"To explore the effect of Eupatilin on JAK2/STAT3 pathway, we extracted proteins from the lung tissue of septic mice. The Western blot analysis revealed that the expression of p-JAK2 and p-STAT3 was considerably higher in the CLP group than in the SHAM group, and decreased with Eupatilin pretreatment.","[{'entity1': 'Eupatilin', 'relationship': 'effect on', 'entity2': 'JAK2/STAT3 pathway'}, {'entity1': 'Eupatilin', 'relationship': 'decreased', 'entity2': 'p-JAK2 expression'}, {'entity1': 'Eupatilin', 'relationship': 'decreased', 'entity2': 'p-STAT3 expression'}, {'entity1': 'p-JAK2', 'relationship': 'higher in', 'entity2': 'CLP group'}, {'entity1': 'p-STAT3', 'relationship': 'higher in', 'entity2': 'CLP group'}, {'entity1': 'Eupatilin', 'relationship': 'pretreatment', 'entity2': 'CLP group'}]"
46,"One of the pathological features of sepsis is the hyperactivation of inflammation and coagulation systems; both can promote and impact upon each other. In the present study, we found that Eupatilin reduced the expression of inflammatory factors and tissue factors in LPS-induced RAW264.7 cells in vitro and increased the survival of CLP mice.","[{'entity1': 'Sepsis', 'relationship': 'pathological feature', 'entity2': 'hyperactivation of inflammation'}, {'entity1': 'Sepsis', 'relationship': 'pathological feature', 'entity2': 'hyperactivation of coagulation'}, {'entity1': 'Eupatilin', 'relationship': 'reduced', 'entity2': 'expression of inflammatory factors'}, {'entity1': 'Eupatilin', 'relationship': 'reduced', 'entity2': 'expression of tissue factors'}, {'entity1': 'Eupatilin', 'relationship': 'increased', 'entity2': 'survival of CLP mice'}]"
47,"In vivo, Eupatilin attenuated lung injury and reduced inflammatory infiltration and coagulation activation in CLP mice. In summary, our research revealed that Eupatilin could protect septic mice from lung injury, by improving inflammation and coagulation, and that this protection was linked to JAK2/STAT3 signaling pathway.","[{'entity1': 'Eupatilin', 'relationship': 'attenuated', 'entity2': 'lung injury'}, {'entity1': 'Eupatilin', 'relationship': 'reduced', 'entity2': 'inflammatory infiltration'}, {'entity1': 'Eupatilin', 'relationship': 'reduced', 'entity2': 'coagulation activation'}, {'entity1': 'Eupatilin', 'relationship': 'protect', 'entity2': 'septic mice'}, {'entity1': 'Eupatilin', 'relationship': 'improving', 'entity2': 'inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'improving', 'entity2': 'coagulation'}, {'entity1': 'Eupatilin', 'relationship': 'linked to', 'entity2': 'JAK2/STAT3 signaling pathway'}]"
48,"Pro-inflammatory cytokines have the ability to stimulate coagulation in vitro. TF is the main factor in the coagulation process and is also a link between coagulation and inflammation. Under normal physiological conditions, monocytes, endothelial cells, and epithelial cells have low TF expression. However, during sepsis, these cells express and release TF into circulation after being stimulated by inflammatory factors and LPS.","[{'entity1': 'Pro-inflammatory cytokines', 'relationship': 'stimulate', 'entity2': 'coagulation'}, {'entity1': 'TF', 'relationship': 'main factor', 'entity2': 'coagulation process'}, {'entity1': 'TF', 'relationship': 'link', 'entity2': 'inflammation'}, {'entity1': 'monocytes', 'relationship': 'express', 'entity2': 'TF'}, {'entity1': 'endothelial cells', 'relationship': 'express', 'entity2': 'TF'}, {'entity1': 'epithelial cells', 'relationship': 'express', 'entity2': 'TF'}, {'entity1': 'sepsis', 'relationship': 'stimulate', 'entity2': 'TF'}, {'entity1': 'inflammatory factors', 'relationship': 'stimulate', 'entity2': 'TF'}, {'entity1': 'LPS', 'relationship': 'stimulate', 'entity2': 'TF'}]"
49,"After the release of TF, it binds to activated factor VII(VIIa), forming the TF–FVIIa complex, which can induce a pro-inflammatory response in macrophages. The TF–VIIa complex then activates factor X and initiates coagulation.","[{'entity1': 'TF', 'relationship': 'binds to', 'entity2': 'activated factor VII'}, {'entity1': 'TF', 'relationship': 'forms', 'entity2': 'TF-FVIIa complex'}, {'entity1': 'TF-FVIIa complex', 'relationship': 'induces', 'entity2': 'pro-inflammatory response'}, {'entity1': 'TF-FVIIa complex', 'relationship': 'activates', 'entity2': 'factor X'}, {'entity1': 'TF-FVIIa complex', 'relationship': 'initiates', 'entity2': 'coagulation'}, {'entity1': 'TF-FVIIa complex', 'relationship': 'activates', 'entity2': 'macrophages'}]"
