id,input,output
10,Pattern recognition receptor activation involves microbial structures known as pathogen-associated molecular patterns (PAMPs) triggering the inflammatory response through activation of germline-encoded pattern-recognition receptors (PRRs) expressed in both immune and nonimmune cells.,"[{'entity1': 'Pattern recognition receptor activation', 'relationship': 'involves', 'entity2': 'Microbial structures'}, {'entity1': 'Pattern recognition receptor activation', 'relationship': 'triggers', 'entity2': 'Inflammatory response'}, {'entity1': 'Pattern recognition receptor activation', 'relationship': 'activation', 'entity2': 'Pattern-recognition receptors'}, {'entity1': 'Pattern recognition receptor activation', 'relationship': 'expressed', 'entity2': 'Immune cells'}, {'entity1': 'Pattern recognition receptor activation', 'relationship': 'expressed', 'entity2': 'Nonimmune cells'}]"
11,"TLRs are a family of highly conserved, mammalian PRRs that participate in the activation of the inflammatory response. More than ten members of the TLR family have been identified, and TLRs are the most well-studied of the known PRRs.","[{'entity1': 'TLRs', 'relationship': 'participate', 'entity2': 'Inflammatory response'}, {'entity1': 'TLRs', 'relationship': 'identified', 'entity2': 'Members'}, {'entity1': 'TLRs', 'relationship': 'studied', 'entity2': 'PRRs'}]"
12,"Inflammatory pathways impact the pathogenesis of a number of chronic diseases, and involve common inflammatory mediators and regulatory pathways. Inflammatory stimuli activate intracellular signaling pathways that then activate production of inflammatory mediators. Primary inflammatory stimuli, including microbial products and cytokines such as interleukin-1β (IL-1β), interleukin-6 (IL-6), and tumor necrosis factor-α (TNF-α), mediate inflammation through interaction with the TLRs, IL-1 receptor (IL-1R), IL-6 receptor (IL-6R), and the TNF receptor (TNFR). Receptor activation triggers important intracellular signaling pathways, including the mitogen-activated protein kinase (MAPK), nuclear factor kappa-B (NF-κB), and Janus kinase (JAK)-signal transducer and activator of transcription (STAT) pathways.","[{'entity1': 'Inflammatory pathways', 'relationship': 'impact', 'entity2': 'pathogenesis of chronic diseases'}, {'entity1': 'Inflammatory stimuli', 'relationship': 'activate', 'entity2': 'intracellular signaling pathways'}, {'entity1': 'Interleukin-1β', 'relationship': 'mediate', 'entity2': 'inflammation'}, {'entity1': 'Interleukin-6', 'relationship': 'mediate', 'entity2': 'inflammation'}, {'entity1': 'Tumor necrosis factor-α', 'relationship': 'mediate', 'entity2': 'inflammation'}, {'entity1': 'Interleukin-1R', 'relationship': 'interaction with', 'entity2': 'Inflammatory stimuli'}, {'entity1': 'IL-6R', 'relationship': 'interaction with', 'entity2': 'Inflammatory stimuli'}, {'entity1': 'TNFR', 'relationship': 'interaction with', 'entity2': 'Inflammatory stimuli'}, {'entity1': 'Receptor activation', 'relationship': 'triggers', 'entity2': 'intracellular signaling pathways'}, {'entity1': 'NF-κB', 'relationship': 'important roles in', 'entity2': 'inflammatory response'}, {'entity1': 'NF-κB', 'relationship': 'important roles in', 'entity2': 'immune response'}, {'entity1': 'NF-κB', 'relationship': 'important roles in', 'entity2': 'survival processes'}, {'entity1': 'NF-κB', 'relationship': 'important roles in', 'entity2': 'apoptosis processes'}, {'entity1': 'NF-κB', 'relationship': 'activity induced by', 'entity2': 'stimuli'}, {'entity1': 'IκB proteins', 'relationship': 'inhibit', 'entity2': 'NF-κB'}, {'entity1': 'PRRs', 'relationship': 'activate', 'entity2': 'IκB kinase'}, {'entity1': 'IKK', 'relationship': 'regulates', 'entity2': 'NF-κB pathway activation'}, {'entity1': 'IκB phosphorylation', 'relationship': 'results in', 'entity2': 'degradation by proteasome'}, {'entity1': 'NF-κB', 'relationship': 'release for', 'entity2': 'nuclear translocation'}, {'entity1': 'NF-κB', 'relationship': 'release for', 'entity2': 'gene transcription activation'}, {'entity1': 'NF-κB pathway', 'relationship': 'regulates', 'entity2': 'pro-inflammatory cytokine production'}, {'entity1': 'NF-κB pathway', 'relationship': 'regulates', 'entity2': 'inflammatory cell recruitment'}, {'entity1': 'MAPK', 'relationship': 'comprises', 'entity2': 'MAPK kinase'}, {'entity1': 'MAPK', 'relationship': 'comprises', 'entity2': 'MAPK kinase kinase'}, {'entity1': 'ERK1/2', 'relationship': 'activated by', 'entity2': 'mitogens'}, {'entity1': 'ERK1/2', 'relationship': 'activated by', 'entity2': 'differentiation signals'}, {'entity1': 'JNK', 'relationship': 'activated by', 'entity2': 'inflammatory stimuli'}, {'entity1': 'JNK', 'relationship': 'activated by', 'entity2': 'stress'}, {'entity1': 'MKK1', 'relationship': 'activate', 'entity2': 'ERK1/2'}, {'entity1': 'MKK2', 'relationship': 'activate', 'entity2': 'ERK1/2'}, {'entity1': 'MKK4', 'relationship': 'activate', 'entity2': 'JNK'}, {'entity1': 'MKK7', 'relationship': 'activate', 'entity2': 'JNK'}, {'entity1': 'MKK3', 'relationship': 'activate', 'entity2': 'p38'}, {'entity1': 'MKK6', 'relationship': 'activate', 'entity2': 'p38'}]"
13,"The NF-κB transcription factor plays important roles in inflammatory, immune response, survival, and apoptosis processes. The NF-κB family includes five related transcription factors: P50, p52, RelA (p65), RelB, and c-Rel. NF-κB activity is induced by a range of stimuli, including pathogen-derived substances, intercellular inflammatory cytokines, and many enzymes. Under physiological conditions, IκB proteins present in the cytoplasm inhibit NF-κB. PRRs use similar signal transduction mechanisms to activate IκB kinase (IKK), which is composed of two kinase subunits, IKKα and IKKβ, and a regulatory subunit, such as IKKγ. IKK regulates NF-κB pathway activation through IκB phosphorylation. IκB phosphorylation results in its degradation by the proteasome and the subsequent release of NF-κB for nuclear translocation and gene transcription activation. This pathway regulates pro-inflammatory cytokine production and inflammatory cell recruitment, which contribute to the inflammatory response.","[{'entity1': 'NF-κB', 'relationship': 'plays roles in', 'entity2': 'inflammatory processes'}, {'entity1': 'NF-κB', 'relationship': 'plays roles in', 'entity2': 'immune response'}, {'entity1': 'NF-κB', 'relationship': 'plays roles in', 'entity2': 'survival processes'}, {'entity1': 'NF-κB', 'relationship': 'plays roles in', 'entity2': 'apoptosis processes'}, {'entity1': 'NF-κB', 'relationship': 'activity induced by', 'entity2': 'stimuli'}, {'entity1': 'IκB proteins', 'relationship': 'inhibit', 'entity2': 'NF-κB'}, {'entity1': 'PRRs', 'relationship': 'activate', 'entity2': 'IκB kinase'}, {'entity1': 'IKK', 'relationship': 'regulates', 'entity2': 'NF-κB pathway activation'}, {'entity1': 'IκB phosphorylation', 'relationship': 'results in', 'entity2': 'degradation by proteasome'}, {'entity1': 'NF-κB', 'relationship': 'release for', 'entity2': 'nuclear translocation'}, {'entity1': 'NF-κB', 'relationship': 'release for', 'entity2': 'gene transcription activation'}, {'entity1': 'NF-κB pathway', 'relationship': 'regulates', 'entity2': 'pro-inflammatory cytokine production'}, {'entity1': 'NF-κB pathway', 'relationship': 'regulates', 'entity2': 'inflammatory cell recruitment'}]"
14,"MAPKs are a family of serine/threonine protein kinases that direct cellular responses to a variety of stimuli, including osmotic stress, mitogens, heat shock, and inflammatory cytokines (such as IL-1, TNF-α, and IL-6), which regulate cell proliferation, differentiation, cell survival and apoptosis. The mammalian MAPKs include extracellular-signal-regulated kinase ERK1/2, p38 MAP Kinase, and c-Jun N-terminal kinases (JNK). Each MAPK signaling pathway comprises at least three components: a MAPK, a MAPK kinase (MAPKK), and a MAPK kinase kinase (MAPKKK). MAPKKKs phosphorylate and activate MAPKKs, which in turn phosphorylate and activate MAPKs. ERKs are generally activated by mitogens and differentiation signals, while inflammatory stimuli and stress activate JNK and p38. MKK1 and MKK2 activate ERK1/2, MKK4 and MKK7 activate JNK, and MKK3 and MKK6 activate p38.","[{'entity1': 'MAPKs', 'relationship': 'direct', 'entity2': 'cellular responses'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'cell proliferation'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'cell differentiation'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'cell survival'}, {'entity1': 'MAPKs', 'relationship': 'regulate', 'entity2': 'apoptosis'}, {'entity1': 'MAPKs', 'relationship': 'activated by', 'entity2': 'mitogens'}, {'entity1': 'MAPKs', 'relationship': 'activated by', 'entity2': 'differentiation signals'}, {'entity1': 'JNK', 'relationship': 'activated by', 'entity2': 'inflammatory stimuli'}, {'entity1': 'JNK', 'relationship': 'activated by', 'entity2': 'stress'}, {'entity1': 'MKK1', 'relationship': 'activate', 'entity2': 'ERK1/2'}, {'entity1': 'MKK2', 'relationship': 'activate', 'entity2': 'ERK1/2'}, {'entity1': 'MKK4', 'relationship': 'activate', 'entity2': 'JNK'}, {'entity1': 'MKK7', 'relationship': 'activate', 'entity2': 'JNK'}, {'entity1': 'MKK3', 'relationship': 'activate', 'entity2': 'p38'}, {'entity1': 'MKK6', 'relationship': 'activate', 'entity2': 'p38'}]"
15,"Activation of the MAPKs, including Erk1/2, JNK, leads to phosphorylation and activation of p38 transcription factors.","[{'entity1': 'MAPKs', 'relationship': 'activation', 'entity2': 'Erk1/2'}, {'entity1': 'MAPKs', 'relationship': 'activation', 'entity2': 'JNK'}, {'entity1': 'JNK', 'relationship': 'activation', 'entity2': 'p38 transcription factors'}]"
16,"Signaling through TLRs activates intracellular signaling cascades that lead to nuclear translocation of AP-1 and NF-κB or IRF3, which regulates the inflammatory response.","[{'entity1': 'TLRs', 'relationship': 'activates', 'entity2': 'intracellular signaling cascades'}, {'entity1': 'intracellular signaling cascades', 'relationship': 'lead to', 'entity2': 'nuclear translocation of AP-1'}, {'entity1': 'intracellular signaling cascades', 'relationship': 'lead to', 'entity2': 'NF-κB or IRF3'}]"
17,"NF-κB signaling requires IKK subunits, which regulate pathway activation through IκB phosphorylation.","[{'entity1': 'NF-κB signaling', 'relationship': 'requires', 'entity2': 'IKK subunits'}, {'entity1': 'IKK subunits', 'relationship': 'regulate', 'entity2': 'pathway activation'}, {'entity1': 'IKK subunits', 'relationship': 'regulate', 'entity2': 'IκB phosphorylation'}]"
18,Cytoplasmic STATs recruited to these sites undergo phosphorylation and subsequent dimerization before translocation to the nucleus.,"[{'entity1': 'Cytoplasmic STATs', 'relationship': 'undergo', 'entity2': 'phosphorylation'}, {'entity1': 'Cytoplasmic STATs', 'relationship': 'undergo', 'entity2': 'dimerization'}, {'entity1': 'Cytoplasmic STATs', 'relationship': 'translocation to', 'entity2': 'the nucleus'}]"
19,Binding of IL-6 family members to plasma membrane receptors activates the JAK-STAT proteins.,"[{'entity1': 'IL-6 family members', 'relationship': 'binding to', 'entity2': 'plasma membrane receptors'}, {'entity1': 'plasma membrane receptors', 'relationship': 'activates', 'entity2': 'JAK-STAT proteins'}]"
20,"Cytokines, such as IL-1β, IL-6, TNF-α, and inflammatory proteins and enzymes, serve as biomarkers for diseases diagnosis, prognosis, and therapeutic decision making. Inflammatory cytokines are released from immune cells and play a role in inflammation and immune response regulation.","[{'entity1': 'Cytokines', 'relationship': 'serve as', 'entity2': 'biomarkers'}, {'entity1': 'Cytokines', 'relationship': 'released from', 'entity2': 'immune cells'}, {'entity1': 'Cytokines', 'relationship': 'play a role in', 'entity2': 'inflammation'}, {'entity1': 'Cytokines', 'relationship': 'play a role in', 'entity2': 'immune response'}]"
21,"Inflammatory cytokines are classified as ILs, colony stimulating factors, IFNs, TNFs, TGFs, and chemokines. They are produced by cells to recruit leukocytes to the site of infection or injury. Excessive production of inflammatory cytokines can lead to tissue damage, organ failure, and death.","[{'entity1': 'Inflammatory cytokines', 'relationship': 'classified as', 'entity2': 'ILs'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'produced by', 'entity2': 'cells'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'recruit', 'entity2': 'leukocytes'}, {'entity1': 'Inflammatory cytokines', 'relationship': 'lead to', 'entity2': 'tissue damage'}]"
22,"Inflammatory proteins in the blood, including CRP, haptoglobin, serum amyloid A, fibrinogen, and alpha 1-acid glycoprotein, help restore homeostasis and reduce microbial growth independently of antibodies. Abnormal activation of enzymes like HMGB1, SOD, GPx, NOX, iNOS, and COX-2 play key roles in inflammation-related diseases.","[{'entity1': 'Inflammatory proteins', 'relationship': 'help restore', 'entity2': 'homeostasis'}, {'entity1': 'Inflammatory proteins', 'relationship': 'reduce', 'entity2': 'microbial growth'}, {'entity1': 'Enzymes', 'relationship': 'play key roles in', 'entity2': 'inflammation-related diseases'}]"
23,"Oxidative stress can induce production of reactive oxygen species, malondialdehyde, deoxyguanosine, and isoprostanes, which can activate various transcription factors and increase expression of genes encoding growth factors, inflammatory cytokines, and chemokines. Oxidative stress is associated with the pathogenesis of cardiovascular disease, cancer, diabetes, hypertension, aging, and atherosclerosis.","[{'entity1': 'Oxidative stress', 'relationship': 'induce production of', 'entity2': 'reactive oxygen species'}, {'entity1': 'Oxidative stress', 'relationship': 'associated with', 'entity2': 'pathogenesis of diseases'}, {'entity1': 'Oxidative stress products', 'relationship': 'used as markers of', 'entity2': 'inflammatory response'}]"
24,The inflammatory response involves a network of many cell types. Different cell types are activated during the inflammatory response.,"[{'entity1': 'Inflammatory response', 'relationship': 'involves', 'entity2': 'network of cell types'}, {'entity1': 'Cell types', 'relationship': 'activated during', 'entity2': 'inflammatory response'}]"
25,Oxidative stress products can also be used as markers of the inflammatory response.,"[{'entity1': 'Oxidative stress products', 'relationship': 'markers', 'entity2': 'inflammatory response'}]"
26,The inflammatory response involves a highly coordinated network of many cell types.,"[{'entity1': 'inflammatory response', 'relationship': 'involves', 'entity2': 'cell types'}]"
27,Monocytes can differentiate into macrophages and dendritic cells and are recruited via chemotaxis into damaged tissues.,"[{'entity1': 'Monocytes', 'relationship': 'differentiate into', 'entity2': 'macrophages'}, {'entity1': 'Monocytes', 'relationship': 'differentiate into', 'entity2': 'dendritic cells'}, {'entity1': 'Monocytes', 'relationship': 'recruited via', 'entity2': 'chemotaxis'}]"
28,"Neutrophils, which target microorganisms in the body, can also damage host cells and tissues.","[{'entity1': 'Neutrophils', 'relationship': 'target', 'entity2': 'microorganisms'}, {'entity1': 'Neutrophils', 'relationship': 'damage', 'entity2': 'host cells'}, {'entity1': 'Neutrophils', 'relationship': 'damage', 'entity2': 'tissues'}]"
29,"Macrophages are important components of the mononuclear phagocyte system, and are critical in inflammation initiation, maintenance, and resolution.","[{'entity1': 'Macrophages', 'relationship': 'components of', 'entity2': 'mononuclear phagocyte system'}, {'entity1': 'Macrophages', 'relationship': 'critical in', 'entity2': 'inflammation initiation'}, {'entity1': 'Macrophages', 'relationship': 'critical in', 'entity2': 'inflammation maintenance'}, {'entity1': 'Macrophages', 'relationship': 'critical in', 'entity2': 'inflammation resolution'}]"
30,"Macrophages are critical in inflammation initiation, maintenance, and resolution. During inflammation, macrophages present antigens, undergo phagocytosis, and modulate the immune response by producing cytokines and growth factors.","[{'entity1': 'Macrophages', 'relationship': 'critical', 'entity2': 'inflammation'}, {'entity1': 'Macrophages', 'relationship': 'present', 'entity2': 'antigens'}, {'entity1': 'Macrophages', 'relationship': 'modulate', 'entity2': 'immune response'}]"
31,"Mast cells are effector cells that initiate inflammatory responses. Activated mast cells release a variety of inflammatory mediators, including cytokines, chemokines, histamine, proteases, prostaglandins, leukotrienes, and serglycin proteoglycans.","[{'entity1': 'Mast cells', 'relationship': 'initiate', 'entity2': 'inflammatory responses'}, {'entity1': 'Mast cells', 'relationship': 'release', 'entity2': 'inflammatory mediators'}]"
32,"Platelets impact inflammatory processes, from atherosclerosis to infection. Platelet interactions with inflammatory cells may mediate pro-inflammatory outcomes. Some studies have indicated that platelets induce the acute phase response (APR).","[{'entity1': 'Platelets', 'relationship': 'impact', 'entity2': 'inflammatory processes'}, {'entity1': 'Platelets', 'relationship': 'interactions', 'entity2': 'inflammatory cells'}, {'entity1': 'Platelets', 'relationship': 'induce', 'entity2': 'acute phase response'}]"
33,"Inflammation resolution is a well-managed process involving the spatially- and temporally-controlled production of mediators, during which chemokine gradients are diluted over time. Dysregulation of this process can lead to uncontrolled chronic inflammation.","[{'entity1': 'Inflammation resolution', 'relationship': 'process', 'entity2': 'mediators'}, {'entity1': 'Inflammation resolution', 'relationship': 'lead to', 'entity2': 'chronic inflammation'}]"
34,"Chronic inflammation occurs when acute inflammatory mechanisms fail to eliminate tissue injury, and may lead to diseases such as cardiovascular diseases, atherosclerosis, type 2 diabetes, rheumatoid arthritis, and cancers.","[{'entity1': 'Chronic inflammation', 'relationship': 'occurs when', 'entity2': 'acute inflammatory mechanisms'}, {'entity1': 'Chronic inflammation', 'relationship': 'lead to', 'entity2': 'cardiovascular diseases'}, {'entity1': 'Chronic inflammation', 'relationship': 'lead to', 'entity2': 'type 2 diabetes'}]"
35,"Inflammation has long been recognized as a major cause of disease. Acute and chronic inflammation-mediated tissue injury is observed in many organ systems, including the heart, pancreas, liver, kidney, lung, brain, intestinal tract, and reproductive system.","[{'entity1': 'Inflammation', 'relationship': 'recognized as', 'entity2': 'cause of disease'}, {'entity1': 'Inflammation', 'relationship': 'observed in', 'entity2': 'organ systems'}]"
36,"Inflammatory mediators play key roles in atherosclerosis, from initial leukocyte recruitment through rupture of the atherosclerotic plaque. Inflammation is also an early event in cardiac stress.","[{'entity1': 'Inflammatory mediators', 'relationship': 'play', 'entity2': 'atherosclerosis'}, {'entity1': 'Inflammation', 'relationship': 'event', 'entity2': 'cardiac stress'}]"
37,Elevated levels of endothelial adhesion molecules and increased inflammatory cytokine and chemokine production and release are observed in affected cardiac tissues.,"[{'entity1': 'Endothelial adhesion molecules', 'relationship': 'levels', 'entity2': 'cardiac tissues'}, {'entity1': 'Inflammatory cytokine', 'relationship': 'production', 'entity2': 'cardiac tissues'}]"
38,Myocardial infarction commonly results from coronary atherosclerosis and involves acute loss of many myocardial cells. Necrotic cardiac cells initiate an inflammatory cascade to clear dead cells and debris from the infarct.,"[{'entity1': 'Myocardial infarction', 'relationship': 'results', 'entity2': 'coronary atherosclerosis'}, {'entity1': 'Necrotic cardiac cells', 'relationship': 'initiate', 'entity2': 'inflammatory cascade'}]"
39,"Cardiovascular disease is the main cause of death and disability in patients with diabetes mellitus, especially those with type 2 diabetes (T2D), in whom cardiovascular disease occurs 14.6 years earlier on average.","[{'entity1': 'Cardiovascular disease', 'relationship': 'cause', 'entity2': 'death and disability'}, {'entity1': 'Type 2 diabetes', 'relationship': 'associated with', 'entity2': 'cardiovascular disease'}]"
40,"Diabetes complications include heart attack, stroke, kidney failure, limb amputation, blindness, and nerve damage. Diabetes results from either impaired insulin production in the pancreas or body cells not responding to produced insulin.","[{'entity1': 'Diabetes complications', 'relationship': 'include', 'entity2': 'heart attack'}, {'entity1': 'Diabetes', 'relationship': 'results from', 'entity2': 'impaired insulin production'}]"
41,"Diabetes results from either impaired insulin production in the pancreas or body cells not responding to produced insulin. Insulin resistance is defined as decreased insulin-stimulated glucose uptake, and is associated with inactivity, obesity, and aging.","[{'entity1': 'Diabetes', 'relationship': 'results from', 'entity2': 'impaired insulin production'}, {'entity1': 'Insulin resistance', 'relationship': 'defined as', 'entity2': 'decreased insulin-stimulated glucose uptake'}, {'entity1': 'Insulin resistance', 'relationship': 'associated with', 'entity2': 'inactivity'}, {'entity1': 'Insulin resistance', 'relationship': 'associated with', 'entity2': 'obesity'}, {'entity1': 'Insulin resistance', 'relationship': 'associated with', 'entity2': 'aging'}]"
42,"Elevated circulating levels of acute-phase proteins, including CRP, fibrinogen, serum amyloid A, plasminogen activator inhibitor, and haptoglobin, along with sialic acid, cytokines, and chemokines, have been observed in patients with T2D.","[{'entity1': 'Elevated levels', 'relationship': 'observed in', 'entity2': 'patients with T2D'}, {'entity1': 'CRP', 'relationship': 'part of', 'entity2': 'acute-phase proteins'}, {'entity1': 'Fibrinogen', 'relationship': 'part of', 'entity2': 'acute-phase proteins'}, {'entity1': 'Serum amyloid A', 'relationship': 'part of', 'entity2': 'acute-phase proteins'}, {'entity1': 'Plasminogen activator inhibitor', 'relationship': 'part of', 'entity2': 'acute-phase proteins'}, {'entity1': 'Haptoglobin', 'relationship': 'part of', 'entity2': 'acute-phase proteins'}, {'entity1': 'Cytokines', 'relationship': 'part of', 'entity2': 'observed levels'}, {'entity1': 'Chemokines', 'relationship': 'part of', 'entity2': 'observed levels'}]"
43,"Pancreatitis is an inflammatory disease of the pancreas. Acute pancreatitis (AP) incidence ranges from 4–45 per 100,000 patients per year and increases annually by approximately 1.3–4.0% in most developed countries.","[{'entity1': 'Pancreatitis', 'relationship': 'inflammatory disease of', 'entity2': 'pancreas'}, {'entity1': 'Acute pancreatitis', 'relationship': 'has incidence range', 'entity2': '4–45 per 100,000 patients per year'}, {'entity1': 'Acute pancreatitis', 'relationship': 'increases annually by', 'entity2': '1.3–4.0% in most developed countries'}]"
44,"Pancreatic cancer results from dysregulation of oncogenes and tumor suppressor genes, as well as growth factors and their receptors, including epidermal growth factors, vascular endothelial growth factor (VEGF), fibroblast growth factor (FGF), and many cytokines, such as TGF-β, IL-1, IL-6, TNF-α, and IL-8, which modulate pathways involved in growth and differentiation.","[{'entity1': 'Pancreatic cancer', 'relationship': 'results from', 'entity2': 'dysregulation of oncogenes and tumor suppressor genes'}, {'entity1': 'Pancreatic cancer', 'relationship': 'results from', 'entity2': 'growth factors and their receptors'}, {'entity1': 'Pancreatic cancer', 'relationship': 'modulated by', 'entity2': 'cytokines'}, {'entity1': 'cytokines', 'relationship': 'modulate', 'entity2': 'pathways'}]"
45,"VEGF and IL-8 are important angiogenic factors in PC, and acidosis-promoted upregulation of these genes can be mediated through NF-κB and AP-1 transactivation and cooperation.","[{'entity1': 'VEGF', 'relationship': 'important in', 'entity2': 'Pancreatic cancer'}, {'entity1': 'IL-8', 'relationship': 'important in', 'entity2': 'Pancreatic cancer'}, {'entity1': 'acidosis', 'relationship': 'promoted upregulation of', 'entity2': 'VEGF and IL-8'}, {'entity1': 'acidosis', 'relationship': 'mediated through', 'entity2': 'NF-κB and AP-1'}]"
46,"Inflammation in the liver protects this organ from infection and injury, but excessive inflammation may lead to extensive loss of hepatocytes, ischemia-reperfusion injury, metabolic alterations, and eventually permanent hepatic damage.","[{'entity1': 'Inflammation', 'relationship': 'protects', 'entity2': 'liver'}, {'entity1': 'Inflammation', 'relationship': 'may lead to', 'entity2': 'loss of hepatocytes'}, {'entity1': 'Inflammation', 'relationship': 'may lead to', 'entity2': 'metabolic alterations'}, {'entity1': 'Inflammation', 'relationship': 'may lead to', 'entity2': 'permanent hepatic damage'}]"
47,Chronic liver diseases are a leading cause of morbidity and mortality in the US.,"[{'entity1': 'Chronic liver diseases', 'relationship': 'leading cause of', 'entity2': 'morbidity and mortality in the US'}]"
